# Parameter PSNR
1 30.9359
2 30.9569
3 30.9855
4 30.9472
5 30.9207
6 30.9355
7 30.919
8 30.864
9 30.8915
10 30.8763
15 30.7655
20 30.6559
25 30.5451
30 30.4728
35 30.3644
40 30.2832
45 30.2112
50 30.0614
60 29.9841
70 29.8615
80 29.7685
90 29.6965
100 29.5871
200 28.9046
300 28.4953
400 28.1694
500 27.9597
600 27.7448
700 27.5934
800 27.3082
900 27.1667
1000 27.0806
1200 26.8407
1500 26.611
2000 26.2506
2500 25.9654
3000 25.748
5000 25.2297
10000 24.5571
