# Parameter CompressionRatio
1 1.07
2 1.07
3 1.07
4 1.07
5 1.07
6 1.07
7 1.07
8 1.07
9 1.07
10 1.07
15 1.07
20 1.07
25 1.07
30 1.07
35 1.07
40 1.07
45 1.07
50 1.07
60 1.07
70 1.07
80 1.07
90 1.07
100 1.07
200 1.07
300 1.07
400 1.08
500 1.08
600 1.08
700 1.08
800 1.08
900 1.08
1000 1.08
1200 1.08
1500 1.08
2000 1.08
2500 1.09
3000 1.09
5000 1.09
10000 1.11
