# Parameter PSNR
1 18.7347
2 18.9446
3 18.9846
4 19.7228
5 19.775
6 19.9712
7 20.145
8 20.0539
9 20.3673
10 20.326
11 19.9597
12 19.887
13 19.7242
14 19.7819
15 20.3621
16 20.0986
17 20.3086
18 20.1628
19 20.1434
