# Parameter CompressionRatio
1 3.00
2 3.00
3 3.00
4 3.00
5 3.00
6 3.00
7 3.00
8 3.00
9 3.00
10 3.00
11 3.00
12 3.00
13 3.00
14 3.00
15 3.00
16 3.00
17 3.00
18 3.00
19 3.00
