# Parameter CompressionRatio
1 3.00
2 3.00
3 3.00
4 3.00
5 3.00
6 3.00
7 3.00
8 3.00
9 3.00
10 3.00
15 3.00
20 3.00
25 3.00
30 3.00
35 3.00
40 3.00
45 3.00
50 3.00
60 3.00
70 3.00
80 3.00
90 3.00
100 3.00
200 3.00
300 3.00
400 3.00
500 3.00
600 3.00
700 3.00
800 3.00
900 3.00
1000 3.00
1200 3.00
1500 3.00
2000 3.00
2500 3.00
3000 3.00
5000 3.00
10000 3.00
