# Parameter PSNR
1 23.1096
2 23.1096
3 23.1086
4 23.1046
5 23.0996
6 23.0942
7 23.0873
8 23.0804
9 23.0743
10 23.0624
15 23.015
20 22.9509
25 22.8879
30 22.8182
35 22.7773
40 22.7452
45 22.7131
50 22.6741
60 22.5896
70 22.521
80 22.4737
90 22.4278
100 22.3647
200 21.9856
300 21.7118
400 21.5059
500 21.376
600 21.2857
700 21.1671
800 21.051
900 20.6831
1000 20.6357
1200 20.2052
1500 20.1986
2000 19.9014
2500 19.8654
3000 19.8259
5000 19.5592
10000 18.635
